type	latitude	longitude	altitude (m)	name
T	39.129000000	-123.716000000	41.2	1k
T	38.846000000	-94.736000000	321.3	
T	30.176000000	-92.008000000	10.8	
T	39.259000000	-84.774000000	176.9	
T	33.146000000	-117.334000000	1.4	
T	33.684000000	-112.110000000	428.5	
T	38.836000000	-95.182000000	269.9	
T	39.879000000	-111.857000000	1488.5	
T	34.646000000	-89.305000000	106.0	
T	27.646000000	-80.428000000	6.0	
T	36.380000000	-88.990000000	94.5	
T	29.551000000	-98.500000000	256.3	
T	32.767000000	-82.810000000	120.4	
T	43.766000000	-99.337000000	518.6	
T	41.916000000	-72.777000000	56.3	
T	27.261000000	-80.848000000	8.8	
T	41.968000000	-114.646000000	1576.3	
T	32.490000000	-95.482000000	192.8	
T	29.900000000	-97.852000000	179.3	
T	39.852000000	-76.486000000	217.2	
T	37.696000000	-121.820000000	116.6	
T	40.479000000	-111.434000000	1704.8	
T	32.476000000	-111.338000000	575.0	
T	31.684000000	-83.271000000	105.1	
T	39.038000000	-91.726000000	256.4	
T	29.941000000	-81.318000000	0.1	
T	59.112000000	-161.581000000	0.0	
T	39.909000000	-105.117000000	1714.0	
T	32.354000000	-95.403000000	162.9	
T	34.110000000	-117.670000000	423.6	
T	39.909000000	-105.117000000	1714.0	
T	41.621000000	-70.938000000	20.5	
T	35.034000000	-82.299000000	303.3	
T	25.797000000	-80.341000000	1.0	
T	33.884000000	-81.382000000	170.6	
T	32.026000000	-102.405000000	907.0	
T	27.176000000	-80.212000000	2.7	
T	37.103000000	-88.817000000	117.0	
T	29.142000000	-82.194000000	22.4	
T	33.857000000	-84.291000000	274.7	
T	40.590000000	-74.311000000	25.3	
T	30.569000000	-88.377000000	23.1	
T	45.117000000	-92.996000000	285.6	
T	42.778000000	-112.895000000	1341.9	
T	25.913000000	-80.282000000	1.2	
T	43.384000000	-94.320000000	360.6	
T	32.735000000	-101.743000000	895.2	
T	41.335000000	-70.299000000	2.2	
T	36.393000000	-105.287000000	2567.1	
T	28.103000000	-80.645000000	7.2	
T	35.854000000	-78.758000000	127.2	
T	35.551000000	-84.374000000	280.1	
T	37.896000000	-121.259000000	5.9	
T	29.451000000	-95.302000000	15.2	
T	44.422000000	-87.936000000	246.6	
T	40.335000000	-119.908000000	1334.3	
T	38.228000000	-85.665000000	165.3	
T	38.943000000	-104.570000000	2076.3	
T	31.477000000	-82.861000000	77.5	
T	35.272000000	-79.254000000	78.4	
T	37.692000000	-97.544000000	431.9	
T	61.450000000	-148.683000000	35.2	
T	44.674000000	-111.424000000	1983.1	
T	35.202000000	-81.150000000	242.1	
T	42.117000000	-76.918000000	268.6	
T	39.499000000	-118.749000000	1206.5	
T	56.939000000	-154.182000000	15.7	
T	32.899000000	-80.041000000	11.9	
T	32.447000000	-98.683000000	444.2	
T	42.750000000	-116.675000000	1605.0	
T	25.999000000	-80.468000000	3.1	
T	29.937000000	-92.320000000	1.3	
T	40.176000000	-76.727000000	84.2	
T	35.615000000	-79.882000000	222.1	
T	42.780000000	-84.606000000	257.1	
T	41.932000000	-72.692000000	47.6	
T	33.930000000	-78.736000000	10.4	
T	41.146000000	-80.168000000	404.9	
T	29.024000000	-81.344000000	14.7	
T	39.095000000	-122.098000000	26.1	
T	33.461000000	-111.728000000	420.1	
T	31.479000000	-92.461000000	61.0	
T	33.498000000	-88.419000000	54.8	
T	35.906000000	-105.559000000	3276.3	
T	42.815000000	-108.729000000	1701.2	
T	29.959000000	-81.340000000	1.6	
T	40.786000000	-99.778000000	732.7	
T	60.979000000	-151.892000000	23.0	
T	34.601000000	-78.579000000	39.0	
T	29.959000000	-81.340000000	1.6	
T	40.529000000	-74.590000000	8.5	
T	28.000000000	-82.163000000	45.6	
T	40.039000000	-105.226000000	1611.6	
T	61.769000000	-151.584000000	560.9	
T	37.565000000	-97.175000000	409.3	
T	35.788000000	-94.355000000	401.2	
T	61.314000000	-151.224000000	268.8	
T	41.143000000	-85.153000000	253.6	
T	34.849000000	-111.788000000	1466.4	
T	42.697000000	-71.549000000	53.7	
T	39.781000000	-119.471000000	2453.9	
T	33.803000000	-118.340000000	29.1	
T	33.208000000	-97.198000000	194.5	
